id_respondent,ses_region_administrative,ses_age_category,behav_vote_turnout_municipal_2021,behav_vote_method,op_covid_measures_easy_to_understand,op_covid_measures_reassuring,op_voting_ease,op_reason_not_vote_no_interest,op_reason_not_vote_lack_info,op_reason_not_vote_disliked_candidates,op_reason_not_vote_not_concerned,op_reason_not_vote_no_impact,op_reason_not_vote_lost_trust,op_reason_not_vote_too_busy,op_reason_not_vote_away,op_reason_not_vote_covid_concern,ses_gender,ses_language_home,ses_born_canada,ses_education,ses_occupation,ses_income_household,ses_household_type,weight_standard,weight_turnout_adjusted,op_reason_not_vote_other,behav_contacted_by_campaign,ses_homeowner,behav_considered_running,op_knowledge_candidates_names,op_knowledge_candidates_platforms,op_closeness_to_party,op_satisfaction_democracy_municipal,op_council_too_complicated,op_council_not_concerned_citizens,op_trust_council,op_citizens_can_influence,op_elected_reflect_diversity,op_council_decisions_impact,op_interest_municipal_politics,behav_vote_frequency_history,op_voting_duty_vs_choice,op_vote_makes_difference,op_voting_makes_proud,op_voting_important_to_others,op_frequency_discuss_politics,behav_volunteering_past_year,behav_civic_participation,op_sense_of_belonging,ses_years_in_municipality,op_barrier_running_salary,op_barrier_running_workload,op_barrier_running_recognition,op_barrier_running_incumbency,op_barrier_running_harassment
935,lanaudiere,65_plus,not_eligible,in_person,1.0,1.0,0.67,,,,,,,,,,male,french,1.0,college_cegep,retired,80k_to_100k,single_no_children,2.3592464923858643,1.502030611038208,,1.0,1.0,0.0,1.0,0.5,0.67,1.0,0.0,0.0,0.33,1.0,0.67,0.33,0.67,0.0,choice,1.0,1.0,0.0,0.0,regularly,0.0,0.67,11_to_20_years,0.0,0.33,0.33,0.0,1.0
938,capitale_nationale,65_plus,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,female,french,1.0,graduate,retired,60k_to_80k,single_no_children,3.2837791442871094,2.094901323318481,,1.0,1.0,0.0,1.0,0.5,0.67,1.0,0.33,0.33,0.67,0.67,0.67,0.33,1.0,0.0,choice,0.67,0.67,1.0,0.33,regularly,1.0,1.0,over_20_years,0.33,0.0,0.33,0.33,0.67
995,laurentides,65_plus,did_not_vote,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,male,french,1.0,high_school,retired,40k_to_60k,couple_no_children,0.8823754787445068,1.8877201080322263,0.0,1.0,1.0,0.0,1.0,1.0,0.33,1.0,0.0,0.33,0.67,1.0,1.0,0.67,0.67,0.33,,1.0,1.0,1.0,0.33,never,0.0,0.67,over_20_years,1.0,1.0,1.0,1.0,1.0
1109,montreal,65_plus,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,male,french,1.0,graduate,retired,120k_to_150k,single_no_children,2.3592464923858643,1.502030611038208,,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.67,0.67,0.67,1.0,1.0,0.33,0.67,0.0,duty,1.0,1.0,0.67,0.33,never,0.0,1.0,over_20_years,0.33,0.67,0.67,0.0,0.0
1274,montreal,55_64,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,male,french,1.0,bachelor,employed,120k_to_150k,couple_no_children,0.8547120690345764,0.5833334922790527,,1.0,1.0,0.0,1.0,0.0,0.0,0.67,0.33,0.33,0.67,0.67,0.67,0.33,0.33,0.0,choice,0.67,0.67,0.67,0.67,occasionally,0.0,0.67,over_20_years,0.67,0.67,0.67,0.33,1.0
1339,capitale_nationale,55_64,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,male,french,1.0,college_cegep,employed,40k_to_60k,other,2.2852814197540283,1.355144500732422,,1.0,0.0,0.0,1.0,0.5,0.33,0.67,0.33,1.0,0.33,0.0,0.33,0.33,1.0,0.0,choice,0.33,0.67,0.67,0.0,occasionally,1.0,0.0,over_20_years,0.33,0.33,0.67,0.0,1.0
1484,capitale_nationale,55_64,not_eligible,in_person,1.0,0.67,1.0,,,,,,,,,,female,french,1.0,college_cegep,retired,40k_to_60k,couple_no_children,2.88539457321167,1.6561861038208008,,0.0,1.0,0.0,1.0,0.5,0.33,0.67,0.33,0.33,0.67,0.67,0.67,0.0,1.0,0.0,choice,0.67,0.67,0.67,0.33,never,0.0,0.67,over_20_years,0.67,1.0,0.67,0.33,1.0
1562,laurentides,35_44,not_eligible,in_person,1.0,0.67,1.0,,,,,,,,,,female,french,1.0,college_cegep,employed,over_150k,couple_with_children,0.6740691065788269,0.3678326308727264,,0.0,1.0,0.0,0.5,0.5,1.0,1.0,0.33,0.0,0.67,0.67,1.0,0.33,0.67,0.0,choice,1.0,0.67,1.0,0.67,occasionally,1.0,0.67,5_to_10_years,1.0,1.0,0.33,0.33,0.67
1602,capitale_nationale,65_plus,did_not_vote,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male,french,1.0,high_school,retired,40k_to_60k,couple_no_children,0.4271733462810516,0.800839364528656,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,0.67,0.33,0.33,0.0,duty,0.67,0.0,0.33,0.67,never,0.0,0.33,11_to_20_years,0.33,0.33,0.67,0.67,0.33
1652,montreal,65_plus,not_eligible,in_person,1.0,0.67,1.0,,,,,,,,,,male,french,1.0,bachelor,retired,,single_no_children,2.3592464923858643,1.502030611038208,,1.0,0.0,0.0,1.0,1.0,0.33,0.67,0.67,0.33,0.67,0.67,0.67,1.0,0.67,0.0,choice,0.67,0.67,1.0,0.67,never,0.0,0.67,over_20_years,0.33,0.33,0.33,0.33,0.33
1723,montreal,65_plus,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,female,french,1.0,bachelor,retired,20k_to_40k,single_no_children,3.2837791442871094,2.094901323318481,,0.0,0.0,0.0,1.0,0.5,0.67,1.0,0.0,0.0,1.0,0.67,0.0,0.33,0.67,0.0,choice,1.0,0.67,0.67,0.33,never,1.0,0.67,11_to_20_years,0.33,0.33,0.33,0.33,0.33
1726,montreal,65_plus,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,female,french,1.0,college_cegep,retired,20k_to_40k,single_no_children,3.2837791442871094,2.094901323318481,,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.33,0.0,1.0,1.0,1.0,0.0,1.0,0.0,choice,1.0,1.0,1.0,0.0,regularly,1.0,1.0,over_20_years,0.67,0.67,1.0,0.33,0.67
1753,monteregie,55_64,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,male,french,1.0,bachelor,employed,80k_to_100k,multigenerational,0.8547120690345764,0.5833334922790527,,0.0,1.0,0.0,1.0,0.5,0.33,0.67,0.33,0.33,0.67,0.67,0.67,0.67,0.33,0.33,,0.67,0.67,0.33,0.33,never,0.0,0.33,over_20_years,0.67,0.67,0.67,0.33,0.67
1890,capitale_nationale,55_64,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,male,french,1.0,high_school,employed,100k_to_120k,multigenerational,2.2852814197540283,1.355144500732422,,1.0,1.0,0.0,1.0,0.5,0.33,1.0,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.0,duty,0.67,1.0,0.67,0.33,never,0.0,0.67,over_20_years,0.33,0.67,0.67,0.67,0.33
1891,laval,65_plus,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,female,french,1.0,bachelor,retired,80k_to_100k,single_no_children,3.2837791442871094,2.094901323318481,,1.0,1.0,0.0,0.5,0.5,1.0,0.67,0.67,0.67,0.67,0.67,0.67,0.33,1.0,0.0,choice,0.67,1.0,0.67,0.67,occasionally,1.0,0.67,over_20_years,0.67,0.67,0.67,0.67,1.0
1925,bas_saint_laurent,65_plus,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,male,french,1.0,bachelor,employed,60k_to_80k,single_no_children,0.8823754787445068,0.6465595364570618,,0.0,1.0,0.0,1.0,0.5,,0.67,0.33,0.33,0.67,0.67,0.67,0.33,1.0,0.0,choice,1.0,1.0,0.67,0.0,never,1.0,0.67,over_20_years,0.67,0.33,0.67,0.0,0.67
